date,regular,source
2026-06-18,3.999,aaa-yesterday-field
2026-06-19,3.973,aaa-current
2026-06-20,3.951,aaa-yesterday-field
2026-06-21,3.938,aaa-current
2026-06-23,3.926,aaa-yesterday-field
2026-06-24,3.928,aaa-current
2026-06-25,3.918,aaa-yesterday-field
2026-06-26,3.901,aaa-current
2026-06-27,3.878,aaa-current
2026-06-28,3.867,aaa-yesterday-field
2026-06-29,3.86,aaa-current
2026-07-09,3.846,aaa-yesterday-field
2026-07-10,3.884,aaa-current
2026-07-12,3.876,aaa-yesterday-field
2026-07-13,3.872,aaa-current
2026-07-19,3.9975,aaa-month-ago-field
2026-08-12,4.036,aaa-week-ago-field
2026-08-18,4.0654,aaa-yesterday-field
2026-08-19,4.086,aaa-current
2026-08-20,4.1044,aaa-current
2026-08-21,4.1092,aaa-current
2026-08-22,4.1024,aaa-current
2026-08-23,4.0986,aaa-current
2026-08-24,4.0991,aaa-current
2026-08-25,4.0969,aaa-current
2026-08-26,4.1014,aaa-current
