target_date,strike,market_prob,model_prob,outcome
2026-08-20,4.0450,0.9900,1.0000,1
2026-08-20,4.0500,0.9900,1.0000,1
2026-08-20,4.0550,0.9900,1.0000,1
2026-08-20,4.0600,0.9900,1.0000,1
2026-08-20,4.0650,0.9900,0.9999,1
2026-08-20,4.0700,0.9900,0.9996,1
2026-08-20,4.0750,0.9900,0.9981,1
2026-08-20,4.0800,0.9900,0.9921,1
2026-08-20,4.0850,0.9900,0.9731,1
2026-08-20,4.0900,0.9900,0.9255,1
2026-08-20,4.0950,0.9900,0.8309,1
2026-08-20,4.1000,0.9500,0.6816,1
2026-08-20,4.1050,0.4700,0.4947,0
2026-08-20,4.1100,0.0200,0.3090,0
2026-08-20,4.1150,0.0100,0.1625,0
2026-08-20,4.1200,0.0100,0.0708,0
2026-08-20,4.1250,0.0100,0.0253,0
2026-08-21,4.0650,0.9900,1.0000,1
2026-08-21,4.0700,0.9900,1.0000,1
2026-08-21,4.0750,0.9900,1.0000,1
2026-08-21,4.0800,0.9900,1.0000,1
2026-08-21,4.0850,0.9900,0.9998,1
2026-08-21,4.0900,0.9900,0.9987,1
2026-08-21,4.0950,0.9900,0.9943,1
2026-08-21,4.1000,0.9900,0.9794,1
2026-08-21,4.1050,0.9500,0.9402,1
2026-08-21,4.1100,0.3000,0.8579,0
2026-08-21,4.1150,0.0200,0.7209,0
2026-08-21,4.1200,0.0300,0.5399,0
2026-08-21,4.1250,0.0100,0.3500,0
2026-08-21,4.1300,0.0200,0.1919,0
2026-08-21,4.1350,0.0100,0.0875,0
2026-08-21,4.1400,0.0100,0.0328,0
2026-08-21,4.1450,0.0100,0.0100,0
2026-08-22,4.0700,0.9900,1.0000,1
2026-08-22,4.0750,0.9900,1.0000,1
2026-08-22,4.0800,0.9900,0.9999,1
2026-08-22,4.0850,0.9900,0.9995,1
2026-08-22,4.0900,0.9900,0.9967,1
2026-08-22,4.0950,0.9900,0.9842,1
2026-08-22,4.1000,0.9700,0.9431,1
2026-08-22,4.1050,0.1300,0.8448,0
2026-08-22,4.1100,0.0200,0.6728,0
2026-08-22,4.1150,0.0200,0.4526,0
2026-08-22,4.1200,0.0100,0.2463,0
2026-08-22,4.1250,0.0100,0.1051,0
2026-08-22,4.1300,0.0100,0.0344,0
2026-08-22,4.1350,0.0100,0.0085,0
2026-08-22,4.1400,0.0100,0.0016,0
2026-08-22,4.1450,0.0100,0.0002,0
2026-08-22,4.1500,0.0100,0.0000,0
2026-08-23,4.0600,0.9900,1.0000,1
2026-08-23,4.0650,0.9900,0.9999,1
2026-08-23,4.0700,0.9900,0.9990,1
2026-08-23,4.0750,0.9900,0.9944,1
2026-08-23,4.0800,0.9900,0.9760,1
2026-08-23,4.0850,0.9900,0.9218,1
2026-08-23,4.0900,0.9800,0.8045,1
2026-08-23,4.1000,0.4100,0.3966,0
2026-08-23,4.1050,0.0100,0.2055,0
2026-08-23,4.1100,0.0200,0.0835,0
2026-08-23,4.1150,0.0100,0.0261,0
2026-08-23,4.1200,0.0100,0.0062,0
2026-08-23,4.1250,0.0100,0.0011,0
2026-08-23,4.1300,0.0100,0.0001,0
2026-08-23,4.1350,0.0100,0.0000,0
2026-08-23,4.1400,0.0100,0.0000,0
2026-08-23,4.0950,0.9900,0.6171,1
2026-08-24,4.0600,0.9900,1.0000,1
2026-08-24,4.0650,0.9900,0.9998,1
2026-08-24,4.0700,0.9900,0.9988,1
2026-08-24,4.0750,0.9900,0.9931,1
2026-08-24,4.0800,0.9900,0.9704,1
2026-08-24,4.0850,0.9900,0.9050,1
2026-08-24,4.0900,0.9600,0.7690,1
2026-08-24,4.0950,0.9500,0.5636,1
2026-08-24,4.1000,0.1100,0.3390,0
2026-08-24,4.1050,0.0200,0.1609,0
2026-08-24,4.1100,0.0100,0.0587,0
2026-08-24,4.1150,0.0100,0.0161,0
2026-08-24,4.1200,0.0100,0.0033,0
2026-08-24,4.1250,0.0100,0.0005,0
2026-08-24,4.1300,0.0100,0.0001,0
2026-08-24,4.1350,0.0100,0.0000,0
2026-08-24,4.1400,0.0100,0.0000,0
2026-08-25,4.0600,0.9900,1.0000,1
2026-08-25,4.0650,0.9900,1.0000,1
2026-08-25,4.0700,0.9900,0.9998,1
2026-08-25,4.0750,0.9900,0.9987,1
2026-08-25,4.0800,0.9900,0.9921,1
2026-08-25,4.0850,0.9900,0.9659,1
2026-08-25,4.0900,0.9900,0.8914,1
2026-08-25,4.0950,0.9800,0.7406,1
2026-08-25,4.1000,0.4600,0.5225,0
2026-08-25,4.1050,0.0200,0.2972,0
2026-08-25,4.1100,0.0100,0.1310,0
2026-08-25,4.1150,0.0100,0.0436,0
2026-08-25,4.1200,0.0100,0.0107,0
2026-08-25,4.1250,0.0100,0.0019,0
2026-08-25,4.1300,0.0100,0.0003,0
2026-08-25,4.1350,0.0100,0.0000,0
2026-08-25,4.1400,0.0100,0.0000,0
2026-08-26,4.0550,0.9950,1.0000,
2026-08-26,4.0600,0.9950,1.0000,
2026-08-26,4.0650,0.9950,0.9999,
2026-08-26,4.0700,0.9950,0.9991,
2026-08-26,4.0750,0.9900,0.9943,
2026-08-26,4.0800,0.9900,0.9732,
2026-08-26,4.0850,0.9950,0.9077,
2026-08-26,4.0900,0.9550,0.7656,
2026-08-26,4.0950,0.7100,0.5486,
2026-08-26,4.1000,0.3100,0.3155,
2026-08-26,4.1050,0.0550,0.1395,
2026-08-26,4.1100,0.0150,0.0460,
2026-08-26,4.1150,0.0100,0.0111,
2026-08-26,4.1200,0.0200,0.0019,
2026-08-26,4.1250,0.0100,0.0002,
2026-08-26,4.1300,0.0100,0.0000,
2026-08-26,4.1350,0.0100,0.0000,
